Scaled Voltage,Raw Voltage,Scaled Current,Raw Current,Balancing,Voltage Offset,Adjusted Voltage,10ms Avg. Voltage,10ms Avg. Current,Vset Changed
3.80025053,8500828,3.29010296,12804508,true,0.321431905,4.12305975,3.79997516,3.29075933,false
3.80008793,8500464,3.29077721,12805413,false,0.321431905,4.12305975,3.80000162,3.29137349,false
3.79984927,8499930,3.28804255,12801743,true,0.321567506,4.12319517,3.80004263,3.29100299,false
3.80036831,8501091,3.28403902,12796369,true,0.321235985,4.12286329,3.80007625,3.29045105,false
3.80021334,8500745,3.28575182,12798668,true,0.321043938,4.12267113,3.80014229,3.2893405,false
3.80015087,8500605,3.28319836,12795241,true,0.320908099,4.12253571,3.80016947,3.28766704,false
3.79971409,8499628,3.28554153,12798386,true,0.321165383,4.12279272,3.80009341,3.28722954,false
3.80018759,8500687,3.28499365,12797651,true,0.320996523,4.12262392,3.80010867,3.28707004,false
3.80007219,8500429,3.28550625,12798339,false,0.320996523,4.12262392,3.80009961,3.28665614,false
3.80008101,8500449,3.28486085,12797472,false,0.320996523,4.12262392,3.8000977,3.28628159,false
3.79997802,8500218,3.28464389,12797181,false,0.320996523,4.12262392,3.80007029,3.28573537,false
3.80004311,8500364,3.28568697,12798581,false,0.320996523,4.12262392,3.80006552,3.28522635,false
3.79959297,8499357,3.28705025,12800411,true,0.321362793,4.12299013,3.80004001,3.28512716,false
3.80036855,8501092,3.28296375,12794926,true,0.321031064,4.12265825,3.80004001,3.28501964,false
3.79997969,8500222,3.28866053,12802572,false,0.321031064,4.12265825,3.80001688,3.28531075,false
3.79989076,8500023,3.28598499,12798981,false,0.321031064,4.12265825,3.79999089,3.28558922,false
3.80003786,8500352,3.28366756,12795871,false,0.321031064,4.12265825,3.80002332,3.28540182,false
3.79993391,8500120,3.28405976,12796397,false,0.321031064,4.12265825,3.79999781,3.28530836,false
3.80006838,8500421,3.2808733,12792120,false,0.321031064,4.12265825,3.79999733,3.28484535,false
3.79985523,8499944,3.28612447,12799168,true,0.3211613,4.12278891,3.79997492,3.28497171,false
3.799891,8500024,3.28280497,12794713,false,0.3211613,4.12278891,3.7999661,3.28478765,false
3.80011129,8500517,3.28503561,12797707,false,0.3211613,4.12278891,3.79997301,3.28472257,false
3.80000067,8500269,3.28587103,12798828,false,0.3211613,4.12278891,3.80001378,3.28460455,false
3.79990005,8500044,3.28209829,12793764,false,0.3211613,4.12278891,3.79996681,3.284518,false
3.80000114,8500270,3.28073215,12791931,false,0.3211613,4.12278891,3.7999692,3.28372526,false
3.8000412,8500360,3.28353596,12795694,false,0.3211613,4.12278891,3.79998398,3.28348041,false
3.80007529,8500436,3.28621387,12799288,false,0.3211613,4.12278891,3.79998779,3.2837348,false
3.79990816,8500062,3.28587103,12798828,false,0.3211613,4.12278891,3.79998517,3.283916,false
3.7997117,8499622,3.28471231,12797273,true,0.321420729,4.12304878,3.79994965,3.28429985,false
3.80042601,8501221,3.28234148,12794091,true,0.321037292,4.12266493,3.80000639,3.28392172,false
